chrom	pos	strand	cil1	ml1	ciu1	pval1	fdr1	cil2	ml2	ciu2	pval2	fdr2	overshoot	5hmC	cil_diff	ml_diff	ciu_diff	pval_diff	fdr_diff	est_mindiff
chrM	33	+	0.003007	0.005816	0.008736	0.000047	0.000092	0.004611	0.008602	0.012835	0.000025	0.000040	0	3	-0.007475	-0.002786	0.001903	0.270106	0.345059	0.000000
chrM	34	-	-0.000488	0.000047	0.000588	0.862570	0.886531	-0.000023	0.000765	0.001572	0.057586	0.077011	0	0	-0.001607	-0.000718	0.000172	0.139883	0.191692	0.000000
chrM	61	+	0.003216	0.005344	0.007565	0.000001	0.000002	0.010134	0.013588	0.017313	0.000000	0.000000	0	3	-0.011957	-0.008243	-0.004530	0.000069	0.000161	-0.004530
chrM	62	-	-0.000140	0.000337	0.000825	0.165455	0.207911	0.001156	0.001865	0.002617	0.000000	0.000001	0	2	-0.002331	-0.001528	-0.000725	0.000486	0.001009	-0.000725
chrM	78	+	0.003243	0.005097	0.007099	0.000000	0.000000	0.012002	0.015435	0.019281	0.000000	0.000000	0	3	-0.013739	-0.010338	-0.006936	0.000000	0.000000	-0.006936
chrM	79	-	0.000144	0.000808	0.001483	0.017106	0.025409	0.000994	0.001947	0.002921	0.000070	0.000113	0	3	-0.002237	-0.001139	-0.000041	0.055498	0.082382	-0.000041
chrM	80	+	0.004824	0.006791	0.008929	0.000000	0.000000	0.014746	0.018539	0.022738	0.000000	0.000000	0	3	-0.015395	-0.011748	-0.008102	0.000000	0.000000	-0.008102
chrM	81	-	0.000448	0.001201	0.001966	0.001762	0.002914	0.000519	0.001561	0.002618	0.003463	0.005021	0	3	-0.001589	-0.000360	0.000868	0.584578	0.659817	0.000000
chrM	91	+	0.005503	0.014126	0.022765	0.001330	0.002238	0.017405	0.029035	0.040732	0.000001	0.000002	0	3	-0.028782	-0.014909	-0.001036	0.043709	0.067593	-0.001036
chrM	92	-	0.000698	0.001497	0.002310	0.000237	0.000432	0.002893	0.003987	0.005117	0.000000	0.000000	0	3	-0.003793	-0.002489	-0.001186	0.000334	0.000706	-0.001186
chrM	96	+	-0.001755	0.009831	0.021431	0.096313	0.125939	0.034029	0.049569	0.065224	0.000000	0.000000	0	2	-0.058342	-0.039739	-0.021135	0.000059	0.000137	-0.021135
chrM	97	-	0.000572	0.001227	0.001898	0.000241	0.000437	0.001952	0.002926	0.003934	0.000000	0.000000	0	3	-0.002799	-0.001699	-0.000599	0.004783	0.008704	-0.000599
chrM	105	+	0.086361	0.126580	0.168803	0.000000	0.000000	0.131818	0.170228	0.211774	0.000000	0.000000	0	3	-0.100892	-0.043648	0.013596	0.133821	0.183888	0.000000
chrM	106	-	0.000746	0.001321	0.001918	0.000007	0.000015	0.002245	0.003145	0.004088	0.000000	0.000000	0	3	-0.002812	-0.001824	-0.000837	0.000888	0.001796	-0.000837
chrM	120	+	0.079905	0.113819	0.151288	0.000000	0.000000	0.174197	0.223134	0.272661	0.000000	0.000000	0	3	-0.166904	-0.109315	-0.051726	0.000537	0.001114	-0.051726
chrM	121	-	0.000373	0.001794	0.003225	0.013302	0.020135	0.001164	0.002934	0.004716	0.001203	0.001804	0	3	-0.003362	-0.001139	0.001083	0.326034	0.407645	0.000000
chrM	163	-	0.001355	0.002055	0.002768	0.000000	0.000000	0.002278	0.003252	0.004249	0.000000	0.000000	0	3	-0.002344	-0.001197	-0.000050	0.051760	0.077640	-0.000050
chrM	171	-	-0.006539	-0.004224	-0.001916	0.000328	0.000591	-0.004372	-0.001249	0.001862	0.431503	0.488743	1	0	-0.006687	-0.002975	0.000738	0.133022	0.183295	0.000000
chrM	187	-	0.001134	0.001893	0.002666	0.000002	0.000004	0.003320	0.004422	0.005575	0.000000	0.000000	0	3	-0.003794	-0.002529	-0.001264	0.000223	0.000483	-0.001264
chrM	316	-	-0.005456	-0.001168	0.003107	0.592619	0.649864	0.002030	0.007849	0.013644	0.008425	0.011904	0	2	-0.015909	-0.009018	-0.002126	0.014397	0.024294	-0.002126
chrM	411	+	0.050263	0.081618	0.113574	0.000000	0.000000	0.026923	0.068738	0.111020	0.001159	0.001745	0	3	-0.037698	0.012880	0.063458	0.631552	0.693319	0.000000
chrM	412	-	0.001307	0.001931	0.002570	0.000000	0.000000	0.005062	0.006061	0.007110	0.000000	0.000000	0	3	-0.005203	-0.004130	-0.003056	0.000000	0.000000	-0.003056
chrM	498	+	0.020150	0.032641	0.045559	0.000000	0.000000	-0.031778	-0.014131	0.003732	0.121558	0.153911	0	1	0.026119	0.046772	0.067425	0.000028	0.000068	0.026119
chrM	499	-	0.000049	0.000993	0.001936	0.039397	0.055355	-0.000324	0.000859	0.002039	0.154798	0.194032	0	1	-0.001340	0.000133	0.001607	0.862382	0.898352	0.000000
chrM	525	+	0.056712	0.077478	0.098610	0.000000	0.000000	-0.067162	-0.039778	-0.012131	0.005060	0.007273	2	1	0.083924	0.117257	0.150590	0.000000	0.000000	0.083924
chrM	526	-	0.000620	0.001413	0.002208	0.000529	0.000932	0.003198	0.004261	0.005340	0.000000	0.000000	0	3	-0.004123	-0.002848	-0.001573	0.000026	0.000064	-0.001573
chrM	544	+	0.090401	0.119104	0.148004	0.000000	0.000000	-0.104848	-0.069132	-0.033089	0.000188	0.000297	2	1	0.143310	0.188236	0.233161	0.000000	0.000000	0.143310
chrM	545	-	0.000919	0.002481	0.004040	0.001945	0.003190	-0.000971	0.000997	0.002950	0.319857	0.374604	0	1	-0.000957	0.001483	0.003924	0.245060	0.316707	0.000000
chrM	624	+	0.090398	0.114929	0.142152	0.000000	0.000000	0.111817	0.144651	0.177452	0.000000	0.000000	0	3	-0.070221	-0.029722	0.010777	0.165326	0.223804	0.000000
chrM	625	-	0.002902	0.003988	0.005101	0.000000	0.000000	0.011707	0.013556	0.015481	0.000000	0.000000	0	3	-0.011466	-0.009568	-0.007670	0.000000	0.000000	-0.007670
chrM	708	+	0.044637	0.057350	0.071403	0.000000	0.000000	0.083351	0.100599	0.118942	0.000000	0.000000	0	3	-0.064596	-0.043249	-0.021901	0.000141	0.000315	-0.021901
chrM	709	-	0.000454	0.002853	0.005252	0.020101	0.029444	0.006009	0.008940	0.011872	0.000000	0.000000	0	3	-0.009797	-0.006087	-0.002377	0.001644	0.003188	-0.002377
chrM	739	+	0.083561	0.097353	0.112238	0.000000	0.000000	0.152204	0.171351	0.191548	0.000000	0.000000	0	3	-0.097166	-0.073998	-0.050830	0.000000	0.000000	-0.050830
